invoice_number,vendor_name,vendor_tax_id,vendor_country_code,issue_date,due_date,currency,amount_gross,amount_net,amount_vat,vat_rate,status,payment_date
INV-2024-0001,Iberia Tech Solutions,ESB12345678,ES,2024-06-10,2024-07-25,USD,1586.72,1455.71,131.01,9.0,cancelled,
INV-2024-0002,ACME Consulting,NL123456789B01,NL,2024-04-02,2024-05-17,USD,2628.95,2628.95,0.0,0.0,cancelled,
INV-2024-0003,Green Office Supplies,DE123456789,DE,2024-04-22,2024-06-06,USD,873.46,801.34,72.12,9.0,paid,2024-06-19
INV-2024-0004,Green Office Supplies,DE123456789,DE,2024-04-12,2024-05-27,EUR,4865.47,4865.47,0.0,0.0,paid,2024-05-22
INV-2024-0005,Atlantic Travel,GB123456789,GB,2024-06-20,2024-07-04,EUR,4752.24,4359.85,392.39,9.0,unpaid,
INV-2024-0006,ACME Consulting,NL123456789B01,NL,2024-04-17,2024-05-17,EUR,1932.44,1772.88,159.56,9.0,paid,2024-05-25
INV-2024-0007,Iberia Tech Solutions,ESB12345678,ES,2024-06-17,2024-08-01,EUR,3358.08,2775.27,582.81,21.0,paid,2024-08-21
INV-2024-0008,Nordic Cloud AB,SE5566778899,SE,2024-06-09,2024-07-09,EUR,1019.44,935.27,84.17,9.0,unpaid,
INV-2024-0009,Nordic Cloud AB,SE5566778899,SE,2024-03-11,2024-04-10,USD,650.17,596.49,53.68,9.0,paid,2024-04-07
INV-2024-0010,ACME Consulting,NL123456789B01,NL,2024-06-02,2024-07-17,EUR,1670.91,1670.91,0.0,0.0,unpaid,
INV-2024-0011,Atlantic Travel,GB123456789,GB,2024-01-02,2024-01-16,USD,4019.97,4019.97,0.0,0.0,unpaid,
INV-2024-0012,Iberia Tech Solutions,ESB12345678,ES,2024-05-07,2024-06-21,EUR,976.07,976.07,0.0,0.0,paid,2024-06-25
INV-2024-0013,Iberia Tech Solutions,ESB12345678,ES,2024-06-29,2024-07-29,EUR,4642.32,4259.01,383.31,9.0,cancelled,
INV-2024-0014,Green Office Supplies,DE123456789,DE,2024-02-15,2024-02-29,EUR,3072.76,2539.47,533.29,21.0,paid,2024-02-29
INV-2024-0015,ACME Consulting,NL123456789B01,NL,2024-04-26,2024-06-10,USD,1920.71,1762.12,158.59,9.0,unpaid,
INV-2024-0016,Iberia Tech Solutions,ESB12345678,ES,2024-02-20,2024-04-05,USD,442.4,405.87,36.53,9.0,cancelled,
INV-2024-0017,Atlantic Travel,GB123456789,GB,2024-02-02,2024-02-16,USD,3245.84,2682.51,563.33,21.0,cancelled,
INV-2024-0018,Nordic Cloud AB,SE5566778899,SE,2024-03-17,2024-03-31,EUR,494.06,453.27,40.79,9.0,cancelled,
INV-2024-0019,Green Office Supplies,DE123456789,DE,2024-01-10,2024-01-24,USD,1998.66,1833.63,165.03,9.0,paid,2024-02-06
INV-2024-0020,Nordic Cloud AB,SE5566778899,SE,2024-04-14,2024-04-28,EUR,4318.56,3569.06,749.5,21.0,cancelled,
INV-2024-0021,Nordic Cloud AB,SE5566778899,SE,2024-06-08,2024-07-08,EUR,484.74,484.74,0.0,0.0,unpaid,
INV-2024-0022,Iberia Tech Solutions,ESB12345678,ES,2024-01-06,2024-02-20,EUR,1574.99,1301.64,273.35,21.0,cancelled,
INV-2024-0023,Iberia Tech Solutions,ESB12345678,ES,2024-03-19,2024-04-02,EUR,2398.72,1982.41,416.31,21.0,cancelled,
INV-2024-0024,ACME Consulting,NL123456789B01,NL,2024-01-07,2024-01-21,EUR,1586.16,1586.16,0.0,0.0,unpaid,
INV-2024-0025,ACME Consulting,NL123456789B01,NL,2024-04-07,2024-05-22,EUR,1044.87,1044.87,0.0,0.0,paid,2024-06-07
INV-2024-0026,Iberia Tech Solutions,ESB12345678,ES,2024-01-12,2024-02-26,EUR,1136.6,939.34,197.26,21.0,paid,2024-03-17
INV-2024-0027,Green Office Supplies,DE123456789,DE,2024-02-12,2024-03-13,EUR,1982.18,1638.17,344.01,21.0,paid,2024-03-27
INV-2024-0028,Iberia Tech Solutions,ESB12345678,ES,2024-06-22,2024-07-22,EUR,3474.89,3187.97,286.92,9.0,cancelled,
INV-2024-0029,Atlantic Travel,GB123456789,GB,2024-05-21,2024-06-20,EUR,2540.97,2099.98,440.99,21.0,paid,2024-06-24
INV-2024-0030,Atlantic Travel,GB123456789,GB,2024-02-22,2024-03-23,EUR,1069.39,883.79,185.6,21.0,unpaid,
INV-2024-0031,Green Office Supplies,DE123456789,DE,2024-05-18,2024-07-02,EUR,4913.52,4507.82,405.7,9.0,unpaid,
INV-2024-0032,Green Office Supplies,DE123456789,DE,2024-06-12,2024-07-27,EUR,1124.27,1031.44,92.83,9.0,cancelled,
INV-2024-0033,Nordic Cloud AB,SE5566778899,SE,2024-03-01,2024-03-15,EUR,2756.08,2756.08,0.0,0.0,paid,2024-03-22
INV-2024-0034,Iberia Tech Solutions,ESB12345678,ES,2024-04-09,2024-05-24,USD,3281.44,2711.93,569.51,21.0,paid,2024-06-07
INV-2024-0035,Iberia Tech Solutions,ESB12345678,ES,2024-03-10,2024-04-09,EUR,1066.33,1066.33,0.0,0.0,paid,2024-04-18
INV-2024-0036,Atlantic Travel,GB123456789,GB,2024-01-17,2024-03-02,EUR,1653.38,1366.43,286.95,21.0,paid,2024-03-09
INV-2024-0037,Nordic Cloud AB,SE5566778899,SE,2024-05-15,2024-06-29,EUR,4459.52,4091.3,368.22,9.0,paid,2024-07-07
INV-2024-0038,Green Office Supplies,DE123456789,DE,2024-05-10,2024-06-24,EUR,778.51,643.4,135.11,21.0,paid,2024-06-22
INV-2024-0039,Atlantic Travel,GB123456789,GB,2024-01-29,2024-02-12,EUR,4645.09,4645.09,0.0,0.0,cancelled,
INV-2024-0040,ACME Consulting,NL123456789B01,NL,2024-04-19,2024-06-03,USD,4305.04,3949.58,355.46,9.0,paid,2024-06-15
INV-2024-0041,Iberia Tech Solutions,ESB12345678,ES,2024-03-10,2024-03-24,EUR,2989.38,2742.55,246.83,9.0,paid,2024-03-24
INV-2024-0042,Green Office Supplies,DE123456789,DE,2024-01-06,2024-02-20,EUR,2800.39,2800.39,0.0,0.0,cancelled,
INV-2024-0043,Green Office Supplies,DE123456789,DE,2024-04-15,2024-05-15,EUR,456.33,418.65,37.68,9.0,paid,2024-05-24
INV-2024-0044,Green Office Supplies,DE123456789,DE,2024-02-28,2024-04-13,EUR,4829.05,3990.95,838.1,21.0,cancelled,
INV-2024-0045,Atlantic Travel,GB123456789,GB,2024-01-01,2024-01-31,EUR,2437.82,2236.53,201.29,9.0,paid,2024-02-03
INV-2024-0046,Nordic Cloud AB,SE5566778899,SE,2024-05-22,2024-06-05,EUR,3965.82,3965.82,0.0,0.0,paid,2024-06-19
INV-2024-0047,ACME Consulting,NL123456789B01,NL,2024-03-27,2024-04-10,EUR,312.13,257.96,54.17,21.0,paid,2024-04-16
INV-2024-0048,Iberia Tech Solutions,ESB12345678,ES,2024-01-22,2024-02-05,EUR,4100.72,3762.13,338.59,9.0,unpaid,
INV-2024-0049,Atlantic Travel,GB123456789,GB,2024-04-24,2024-06-08,EUR,3084.33,3084.33,0.0,0.0,cancelled,
INV-2024-0050,ACME Consulting,NL123456789B01,NL,2024-02-24,2024-03-09,USD,2799.06,2313.27,485.79,21.0,paid,2024-03-29
INV-2024-0051,Green Office Supplies,DE123456789,DE,2024-02-21,2024-04-06,EUR,2722.88,2722.88,0.0,0.0,paid,2024-04-14
INV-2024-0052,Nordic Cloud AB,SE5566778899,SE,2024-04-11,2024-05-11,USD,486.58,402.13,84.45,21.0,cancelled,
INV-2024-0053,Green Office Supplies,DE123456789,DE,2024-03-09,2024-03-23,EUR,2061.32,1703.57,357.75,21.0,unpaid,
INV-2024-0054,Iberia Tech Solutions,ESB12345678,ES,2024-03-16,2024-03-30,EUR,183.53,183.53,0.0,0.0,paid,2024-04-18
INV-2024-0055,Green Office Supplies,DE123456789,DE,2024-05-08,2024-06-07,EUR,4789.8,3958.51,831.29,21.0,unpaid,
INV-2024-0056,Iberia Tech Solutions,ESB12345678,ES,2024-03-14,2024-04-28,EUR,4228.65,4228.65,0.0,0.0,paid,2024-05-01
INV-2024-0057,Iberia Tech Solutions,ESB12345678,ES,2024-05-05,2024-05-19,EUR,3497.69,2890.65,607.04,21.0,paid,2024-06-07
INV-2024-0058,Atlantic Travel,GB123456789,GB,2024-06-06,2024-07-21,USD,4975.87,4565.02,410.85,9.0,cancelled,
INV-2024-0059,Atlantic Travel,GB123456789,GB,2024-05-19,2024-07-03,EUR,1218.63,1007.13,211.5,21.0,cancelled,
INV-2024-0060,Iberia Tech Solutions,ESB12345678,ES,2024-06-19,2024-07-19,EUR,354.87,293.28,61.59,21.0,unpaid,
INV-2024-0061,ACME Consulting,NL123456789B01,NL,2024-01-29,2024-02-28,EUR,2581.6,2581.6,0.0,0.0,cancelled,
INV-2024-0062,Nordic Cloud AB,SE5566778899,SE,2024-06-14,2024-07-14,EUR,4674.23,4674.23,0.0,0.0,unpaid,
INV-2024-0063,Atlantic Travel,GB123456789,GB,2024-06-25,2024-07-09,EUR,219.21,181.17,38.04,21.0,cancelled,
INV-2024-0064,Nordic Cloud AB,SE5566778899,SE,2024-04-09,2024-04-23,EUR,2132.21,1762.16,370.05,21.0,paid,2024-05-08
INV-2024-0065,ACME Consulting,NL123456789B01,NL,2024-06-12,2024-07-27,USD,1444.73,1325.44,119.29,9.0,paid,2024-07-24
INV-2024-0066,ACME Consulting,NL123456789B01,NL,2024-02-04,2024-03-05,EUR,2009.95,2009.95,0.0,0.0,paid,2024-03-17
INV-2024-0067,Atlantic Travel,GB123456789,GB,2024-03-25,2024-04-24,EUR,3874.6,3554.68,319.92,9.0,unpaid,
INV-2024-0068,Nordic Cloud AB,SE5566778899,SE,2024-02-20,2024-04-05,EUR,1668.25,1530.5,137.75,9.0,cancelled,
INV-2024-0069,Nordic Cloud AB,SE5566778899,SE,2024-05-05,2024-05-19,EUR,395.12,395.12,0.0,0.0,cancelled,
INV-2024-0070,Nordic Cloud AB,SE5566778899,SE,2024-05-06,2024-06-05,EUR,1274.42,1274.42,0.0,0.0,cancelled,
INV-2024-0071,Iberia Tech Solutions,ESB12345678,ES,2024-02-26,2024-03-11,EUR,3483.41,3483.41,0.0,0.0,paid,2024-03-07
INV-2024-0072,Atlantic Travel,GB123456789,GB,2024-05-02,2024-06-01,EUR,328.84,301.69,27.15,9.0,unpaid,
INV-2024-0073,ACME Consulting,NL123456789B01,NL,2024-04-20,2024-05-20,EUR,1916.04,1916.04,0.0,0.0,cancelled,
INV-2024-0074,Iberia Tech Solutions,ESB12345678,ES,2024-04-05,2024-05-20,EUR,4376.89,3617.26,759.63,21.0,cancelled,
INV-2024-0075,Iberia Tech Solutions,ESB12345678,ES,2024-05-13,2024-05-27,EUR,4336.83,3584.16,752.67,21.0,paid,2024-05-31
INV-2024-0076,Iberia Tech Solutions,ESB12345678,ES,2024-01-30,2024-03-15,USD,3329.44,2751.6,577.84,21.0,paid,2024-04-02
INV-2024-0077,Nordic Cloud AB,SE5566778899,SE,2024-06-18,2024-07-18,EUR,3653.58,3653.58,0.0,0.0,cancelled,
INV-2024-0078,Iberia Tech Solutions,ESB12345678,ES,2024-06-14,2024-06-28,EUR,2298.29,2298.29,0.0,0.0,paid,2024-07-08
INV-2024-0079,ACME Consulting,NL123456789B01,NL,2024-03-21,2024-04-20,EUR,1374.69,1261.18,113.51,9.0,paid,2024-05-09
INV-2024-0080,Iberia Tech Solutions,ESB12345678,ES,2024-03-29,2024-05-13,EUR,4405.19,4405.19,0.0,0.0,unpaid,
